,S.No,City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated/ Total Stations,AQI,Category,Color Code,Possible Health Impacts
1,1,Agartala,Good,25,"SO
2",1/2,,,,
2,2,Agra,Good,41,"PM
10",3/6,,,,
3,3,Ahmedabad,Satisfactory,79,"PM
10",9/9,,,,
4,4,Ahmednagar,Good,44,"PM
10",1/1,,,,
5,5,Aizawl,Good,25,"PM
10",1/1,,,,
6,6,Ajmer,Satisfactory,95,"PM
10",1/1,,,,
7,7,Akola,Good,45,"PM
10",1/1,,,,
8,8,Alwar,Satisfactory,73,CO,1/1,,,,
9,9,Amaravati,Good,50,"PM
10",1/1,,,,
10,10,Amravati,Satisfactory,58,"PM
10",2/2,,,,
11,11,Amritsar,Satisfactory,64,"PM
10",1/1,,,,
12,12,Anantapur,Satisfactory,62,"PM
2.5",1/1,,,,
13,13,Angul,Satisfactory,52,CO,1/1,,,,
14,14,Ankleshwar,Satisfactory,70,"O
3",1/1,,,,
15,15,Araria,Satisfactory,70,CO,1/1,,,,
16,16,Ariyalur,Good,43,"PM
10",1/1,,,,
17,17,Arrah,Good,45,"PM
10",1/1,,,,
18,18,Asansol,Good,39,"PM
, PM
, CO
2.5
10",3/4,,,,
19,19,"Aurangabad
(Maharashtra)",Good,50,"PM
10",2/3,,,,
20,20,Baddi,Satisfactory,88,"PM
10",1/1,,,,
1,21,Badlapur,Satisfactory,77,"PM
10",1/1,,,,
2,22,Bagalkot,Good,49,"PM
10",1/1,,,,
3,23,Baghpat,Good,34,"NO
2",1/2,,,,
4,24,Balasore,Good,45,CO,1/1,,,,
5,25,Banswara,Satisfactory,71,"PM
10",1/1,,,,
6,26,Baran,Satisfactory,62,"PM
10",1/1,,,,
7,27,Barbil,Good,42,"PM
10",1/1,,,,
8,28,Bareilly,Satisfactory,81,"SO
, CO
2",2/2,,,,
9,29,Baripada,Good,40,"PM
2.5",1/1,,,,
10,30,Barmer,Moderate,107,"PM
10",1/1,,,,
11,31,Barrackpore,Good,44,"PM
10",1/1,,,,
12,32,Bathinda,Good,43,"NO
2",1/1,,,,
13,33,Begusarai,Satisfactory,55,"PM
2.5",1/1,,,,
14,34,Belapur,Good,35,"PM
10",1/1,,,,
15,35,Bengaluru,Satisfactory,63,"O
, PM
3
10",8/14,,,,
16,36,Bettiah,Satisfactory,59,CO,1/1,,,,
17,37,Bhagalpur,Good,45,"SO
2",1/2,,,,
18,38,Bharatpur,Good,35,"O
3",1/1,,,,
19,39,Bhilai,Good,42,"PM
, CO
10",3/3,,,,
20,40,Bhilwara,Satisfactory,74,"PM
10",1/1,,,,
1,41,Bhiwadi,Good,50,"PM
, PM
2.5
10",2/2,,,,
2,42,Bhiwandi,Satisfactory,58,"PM
10",1/1,,,,
3,43,Bhopal,Satisfactory,85,"PM
10",3/3,,,,
4,44,Bhubaneswar,Good,37,"PM
, CO
10",2/2,,,,
5,45,Bikaner,Moderate,102,"PM
10",1/1,,,,
6,46,Bilaspur,Good,27,"PM
10",1/1,,,,
7,47,Bileipada,Good,41,"PM
10",1/1,,,,
8,48,Boisar,Satisfactory,66,"O
3",1/1,,,,
9,49,Brajrajnagar,Satisfactory,77,CO,1/1,,,,
10,50,Bulandshahr,Good,35,CO,1/1,,,,
11,51,Bundi,Satisfactory,64,"PM
10",1/1,,,,
12,52,Byasanagar,Satisfactory,63,"PM
10",1/1,,,,
13,53,Byrnihat,Moderate,150,"PM
2.5",1/1,,,,
14,54,Chandigarh,Good,48,"O
, CO
3",2/3,,,,
15,55,Chandrapur,Satisfactory,55,"PM
10",2/2,,,,
16,56,Chennai,Satisfactory,100,"PM
10",6/9,,,,
17,57,Chhal,Good,32,"PM
10",1/1,,,,
18,58,Chhapra,Moderate,145,"PM
2.5",1/1,,,,
19,59,Chikkaballapur,Good,22,"PM
10",1/1,,,,
20,60,Chikkamagaluru,Good,43,CO,1/1,,,,
1,61,Chittoor,Satisfactory,66,"PM
2.5",1/1,,,,
2,62,Chittorgarh,Satisfactory,58,"PM
10",1/1,,,,
3,63,Churu,Satisfactory,79,"PM
10",1/1,,,,
4,64,Coimbatore,Good,41,"PM
, PM
2.5
10",2/2,,,,
5,65,Cuddalore,Good,38,"PM
, PM
2.5
10",2/2,,,,
6,66,Cuttack,Good,28,"PM
10",1/1,,,,
7,67,Damoh,Good,25,CO,1/1,,,,
8,68,Dausa,Satisfactory,72,"PM
10",1/1,,,,
9,69,Davanagere,Good,32,"PM
10",1/1,,,,
10,70,Dehradun,Good,21,"O
3",1/1,,,,
11,71,Delhi,Satisfactory,59,"O
, PM
3
10",33/39,,,,
12,72,Dewas,Satisfactory,82,"PM
10",1/1,,,,
13,73,Dhanbad,Satisfactory,81,"NO
2",1/2,,,,
14,74,Dhule,Satisfactory,80,"PM
10",1/1,,,,
15,75,Dindigul,Good,42,"PM
10",1/1,,,,
16,76,Dungarpur,Satisfactory,85,"PM
10",1/1,,,,
17,77,Durgapur,Moderate,156,"PM
10",2/3,,,,
18,78,Eloor,Satisfactory,77,CO,1/1,,,,
19,79,Firozabad,Good,34,"PM
10",1/2,,,,
20,80,Gadag,Good,44,CO,1/1,,,,
1,81,Gandhinagar,Satisfactory,80,"PM
10",3/3,,,,
2,82,Gaya,Good,44,"PM
, CO
2.5",3/3,,,,
3,83,Ghaziabad,Good,47,"NO
, CO
2",4/4,,,,
4,84,Gorakhpur,Good,47,"O
3",1/1,,,,
5,85,Greater Noida,Satisfactory,66,"PM
10",2/2,,,,
6,86,Guwahati,Good,41,"SO
, PM
, PM
2
2.5
10",4/4,,,,
7,87,Gwalior,Good,42,"PM
10",2/4,,,,
8,88,Hajipur,Satisfactory,51,"O
3",1/1,,,,
9,89,Haldia,Good,42,"PM
10",1/1,,,,
10,90,Hanumangarh,Good,48,"PM
10",1/1,,,,
11,91,Hapur,Satisfactory,51,CO,1/1,,,,
12,92,Haveri,Good,47,"PM
10",1/1,,,,
