City,count
Gwalior,366
Kolkata,366
Varanasi,366
Hyderabad,366
Chennai,366
Bengaluru,366
Patna,366
Jodhpur,366
Navi Mumbai,366
Ahmedabad,366
Meerut,366
Lucknow,366
Asansol,366
Ghaziabad,366
Guwahati,366
Pune,366
Kanpur,366
Kota,366
Bhilai,366
Greater Noida,366
Agra,366
Mumbai,366
Howrah,366
Solapur,366
Muzaffarpur,366
Jaipur,366
Indore,366
Nagpur,366
Sagar,366
Thane,366
Moradabad,366
Nashik,366
Chandigarh,366
Noida,366
Delhi,366
Akola,365
Thiruvananthapuram,365
Amravati,365
Bhopal,365
Faridabad,365
Raipur,365
Jabalpur,365
Gurugram,365
Prayagraj,365
Pithampur,365
Kolhapur,364
Udaipur,364
Aurangabad (BH)(Maharashtra),364
Rourkela,364
Tirupati,363
Bareilly,363
Sivasagar,363
Gandhinagar,362
Gaya,362
Patiala,362
Ludhiana,361
Alwar,361
Bhiwadi,361
Bulandshahr,361
Thoothukudi,361
Chamarajanagar,360
Bhubaneswar,359
Siliguri,359
Haldia,359
Gummidipoondi,359
Jalandhar,358
Bikaner,358
Khanna,357
Firozabad,357
Baddi,357
Jhunjhunu,357
Madikeri,356
Barbil,356
Durgapur,355
Jalgaon,355
Shivamogga,355
Chandrapur,355
Mysuru,355
Kalaburagi,355
Hubballi,354
Bharatpur,354
Charkhi Dadri,354
Jalore,354
Ajmer,353
Rohtak,353
Ratlam,353
Baghpat,353
Bagalkot,353
Jaisalmer,353
Kalyan,353
Aizawl,352
Pratapgarh,352
Jhalawar,352
Bhagalpur,352
Silchar,352
Hapur,351
Latur,351
Muzaffarnagar,351
Sikar,351
Byasanagar,351
Vijayapura,351
Chikkaballapur,351
Satna,350
Balasore,350
Visakhapatnam,350
Banswara,349
Barmer,349
Rajamahendravaram,349
Kashipur,349
Puducherry,349
Korba,349
Katni,348
Kurukshetra,348
Ulhasnagar,347
Amaravati,347
Dausa,347
Amritsar,346
Cuttack,346
Hajipur,346
Bhiwani,346
Gorakhpur,346
Vrindavan,345
Dehradun,344
Talcher,344
Vatva,344
Pali,343
Nagaur,343
Baran,343
Mandideep,342
Dhule,341
Karnal,340
Rishikesh,340
Mahad,339
Rupnagar,339
Bilaspur,339
Nagaon,337
Badlapur,336
Ramanagara,335
Tensa,335
Angul,335
Baripada,334
Chhal,334
Kunjemura,334
Bundi,334
Vapi,334
Ujjain,334
Rairangpur,334
Belapur,334
Sawai Madhopur,333
Bathinda,333
Rajsamand,332
Ballabgarh,331
Barrackpore,331
Sirohi,331
Suakati,331
Kohima,330
Mangalore,329
Sangli,329
Gadag,328
Mandi Gobindgarh,328
Dharwad,328
Sasaram,327
Jind,327
Bhiwandi,327
Khurja,326
Kaithal,326
Churu,326
Bhilwara,326
Vijayawada,326
Jhansi,325
Chittorgarh,325
Ambala,324
Manesar,324
Mandikhera,323
Dewas,323
Palwal,322
Nalbari,322
Jalna,320
Hanumangarh,320
Bahadurgarh,319
Chikkamagaluru,319
Ankleshwar,319
Cuddalore,319
Bileipada,319
Brajrajnagar,318
Singrauli,317
Sri Ganganagar,316
Saharsa,316
Munger,316
Agartala,315
Nanded,315
Dholpur,313
Narnaul,312
Belgaum,310
Sirsa,310
Yadgir,310
Keonjhar,310
Hisar,310
Pimpri-Chinchwad,306
Davanagere,306
Karauli,305
Panipat,304
Ariyalur,303
Yamunanagar,303
Thrissur,302
Panchkula,302
Imphal,299
Tonk,299
Koppal,298
Coimbatore,295
Sonipat,294
Virar,293
Tumakuru,293
Chhapra,292
Katihar,291
Malegaon,291
Nayagarh,288
Fatehabad,287
Parbhani,285
Motihari,285
Bihar Sharif,281
Byrnihat,280
Samastipur,279
Dungarpur,279
Surat,279
Mira-Bhayandar,277
Gangtok,277
Kollam,275
Anantapur,275
Dharuhera,272
Kishanganj,270
Purnia,270
Boisar,269
Ramanathapuram,268
Eloor,268
Udupi,267
Rajgir,262
Chittoor,262
Karwar,259
Haveri,258
Tirupur,256
Bidar,255
Aurangabad (BH) (Bihar),253
Kolar,248
Kadapa,244
Palkalaiperur,243
Ahmednagar,242
Hassan,239
Arrah,238
Bettiah,236
Araria,235
Naharlagun,234
Raichur,228
Dhanbad,226
Maihar,224
Buxar,223
Siwan,217
Ooty,208
Manguraha,201
Kannur,201
Shillong,195
Vellore,184
Milupara,180
Damoh,180
Chengalpattu,167
Nandesari,155
Virudhunagar,151
Salem,150
Begusarai,130
Tumidih,124
Tirunelveli,119
Dindigul,114
Kanchipuram,94
Tiruchirappalli,82
Madurai,76
Karur,71
Thanjavur,70
Pudukottai,64
Ranipet,54
Kochi,52
Nagapattinam,42
Pathardih,26
Jorapokhar,21
"Aurangabad (BH)(Maharashtra)",1
