city,count
Delhi,3873
Hyderabad,3862
Bengaluru,3850
Chennai,3805
Lucknow,3786
Kanpur,3708
Navi Mumbai,3694
Agra,3652
Mumbai,3614
Varanasi,3602
Chandrapur,3567
Faridabad,3473
Jodhpur,3466
Jaipur,3450
Pune,3448
Muzaffarpur,3357
Gurugram,3356
Patna,3320
Ahmedabad,3268
Kolkata,3240
Gaya,3202
Howrah,3153
Ghaziabad,3148
Nashik,3142
Noida,3136
Visakhapatnam,3136
Tirupati,3093
Solapur,3032
Thiruvananthapuram,3030
Ludhiana,3016
Nagpur,3010
Amritsar,2929
Aurangabad (Maharashtra),2922
Panchkula,2918
Rajamahendravaram,2914
Pithampur,2910
Kota,2902
Udaipur,2869
Mandi Gobindgarh,2852
Rohtak,2837
Thane,2836
Ajmer,2835
Alwar,2832
Pali,2827
Jalandhar,2819
Patiala,2808
Bhiwadi,2786
Dewas,2783
Haldia,2769
Greater Noida,2763
Mandideep,2760
Amaravati,2725
Khanna,2724
Asansol,2667
Bulandshahr,2642
Moradabad,2639
Singrauli,2636
Siliguri,2612
Satna,2588
Ujjain,2542
Guwahati,2474
Gandhinagar,2429
Muzaffarnagar,2420
Chikkaballapur,2411
Bathinda,2400
Durgapur,2389
Vatva,2374
Hapur,2369
Rupnagar,2327
Talcher,2292
Chandigarh,2286
Meerut,2280
Indore,2260
Hubballi,2259
Bhopal,2252
Ratlam,2248
Jabalpur,2245
Baghpat,2237
Katni,2201
Kurukshetra,2173
Ankleshwar,2146
Gwalior,2110
Bahadurgarh,2096
Karnal,2093
Kaithal,2093
Ballabgarh,2082
Bhiwani,2081
Mysuru,2080
Ambala,2078
Manesar,2064
Jind,2053
Sirsa,2047
Kalyan,2045
Palwal,2030
Mandikhera,2028
Sagar,2015
Kalaburagi,2015
Yamunanagar,2011
Vapi,2011
Brajrajnagar,2008
Damoh,1980
Narnaul,1953
Hisar,1947
Hajipur,1942
Panipat,1913
Eloor,1906
Yadgir,1899
Ramanagara,1886
Fatehabad,1864
Bagalkot,1863
Dharuhera,1855
Sonipat,1821
Chikkamagaluru,1793
Vijayapura,1784
Madikeri,1779
Thoothukudi,1762
Shivamogga,1760
Maihar,1755
Kannur,1720
Aizawl,1711
Agartala,1703
Chamarajanagar,1700
Puducherry,1687
Charkhi Dadri,1687
Kohima,1678
Prayagraj,1665
Kollam,1636
Shillong,1617
Vijayawada,1589
Firozabad,1572
Gorakhpur,1546
Vrindavan,1525
Mangalore,1506
Coimbatore,1496
Thrissur,1477
Bhagalpur,1439
Davanagere,1418
Gummidipoondi,1385
Koppal,1383
Bilaspur,1329
Baddi,1327
Jhansi,1302
Munger,1268
Bareilly,1266
Motihari,1256
Katihar,1251
Chhapra,1225
Kishanganj,1217
Sasaram,1208
Gadag,1198
Saharsa,1195
Purnia,1194
Kochi,1186
Bhilai,1173
Khurja,1163
Sivasagar,1153
Hassan,1146
Arrah,1138
Dehradun,1129
Araria,1122
Rourkela,1109
Bettiah,1098
Raipur,1092
Bihar Sharif,1078
Samastipur,1072
Rajgir,1071
Korba,1064
Jorapokhar,1057
Raichur,1046
Baripada,1028
Ramanathapuram,1027
Bharatpur,1025
Nandesari,1017
Gangtok,1008
Anantapur,1004
Siwan,1002
Jhunjhunu,1001
Kozhikode,998
Jhalawar,996
Sikar,995
Barmer,992
Aurangabad (Bihar),990
Silchar,989
Pratapgarh,982
Bileipada,981
Dausa,979
Keonjhar,977
Nalbari,975
Nayagarh,972
Banswara,971
Bikaner,966
Kolhapur,956
Rajsamand,952
Rairangpur,947
Sri Ganganagar,946
Nagaon,946
Hanumangarh,945
Sawai Madhopur,942
Tensa,941
Churu,940
Amravati,938
Jaisalmer,936
Rishikesh,935
Suakati,931
Chittorgarh,920
Karauli,917
Akola,914
Tonk,910
Sirohi,905
Belgaum,904
Nagaur,901
Jalgaon,897
Surat,896
Latur,894
Cuddalore,894
Manguraha,894
Imphal,886
Chittoor,884
Ariyalur,883
Haveri,883
Baran,883
Kashipur,881
Tirupur,880
Bundi,877
Dholpur,872
Badlapur,860
Bidar,852
Belapur,851
Ulhasnagar,849
Mahad,847
Dharwad,845
Bhilwara,844
Kunjemura,843
Sangli,840
Pimpri-Chinchwad,836
Srinagar,834
Ooty,833
Dhule,831
Ernakulam,827
Chhal,824
Bhiwandi,821
Kadapa,820
Naharlagun,812
Kolar,810
Nanded,809
Byrnihat,801
Buxar,795
Begusarai,781
Bhubaneswar,772
Jalna,771
Balasore,761
Barbil,760
Dhanbad,753
Jalore,753
Byasanagar,749
Angul,747
Cuttack,747
Udupi,737
Parbhani,710
Barrackpore,700
Palkalaiperur,700
Tumakuru,651
Salem,640
Virar,632
Dungarpur,625
Malegaon,623
Boisar,610
Mira-Bhayandar,604
Tumidih,601
Dindigul,592
Ahmednagar,584
Kanchipuram,573
Milupara,561
Vellore,555
Chengalpattu,533
Hosur,532
Virudhunagar,424
Tirunelveli,411
Darbhanga,407
Madurai,393
Tiruchirappalli,375
Pudukottai,369
Karwar,362
Thanjavur,347
Tirumala,341
Karur,313
Nagapattinam,269
Panchgaon,237
Ranipet,220
Loni_Dehat,193
Perundurai,175
Namakkal,109
Sri Vijaya Puram,103
Pathardih,26
Pampore,10
Loni_Ghaziabad,2
Jharsuguda,1
